Data,Salinidade WE2,Temperatura WE2 ºC,pH WE2,Alcalinidade WE2 (mg/L),NH3-N WE2 (mg/L),NO2 WE2 (mg/L),λ400 WE2  (%Tras),λ500 WE2 (%Tras),Mortality WE2
1/1/2018,35,19.6,8.10,,0.32,0.114,97.8,99.6,159
1/2/2018,35,20.0,08.09,,0.56,0.134,100.9,99.4,86
1/3/2018,35,20.0,8.11,,0.44,0.149,100.2,100.5,169
1/4/2018,35,19.8,8.10,,0.23,0.077,91.3,92.6,56
1/5/2018,35,20.0,8.12,,0.63,0.159,101.9,99.9,21
1/6/2018,36,20.2,8.15,,0.34,0.107,111.7,100.5,89
1/7/2018,36,19.9,8.15,,0.35,0.107,99.7,100.5,113
1/8/2018,36,19.2,8.13,,0.38,0.143,94.9,96.0,59
1/9/2018,36,18.8,8.15,,0.53,0.034,96.7,98.8,16
1/10/2018,36,19.8,8.13,,0.97,0.124,92.2,96.4,42
1/11/2018,36,19.8,8.12,,0.52,0.193,97.8,98.0,103
1/12/2018,36,19.3,8.16,,0.22,0.07,104,105,56
1/13/2018,36,20.0,8.17,,0.10,0.002,96.3,98.1,38
1/14/2018,36,19.5,8.15,,0.34,0.088,97.5,98.4,19
1/15/2018,36,18.9,8.12,,0.22,0.055,98.5,101.0,9
1/16/2018,36,20.4,8.14,,0.29,0.139,99.1,97.7,29
1/17/2018,36,19.9,8.15,,0.19,0.103,103.8,101.7,23
1/18/2018,35,19.3,8.12,,0.42,0.078,95.0,97.4,25
1/19/2018,36,19.7,8.12,,0.40,0.095,98.0,100.7,36
1/20/2018,36,20.2,08.08,,0.46,0.122,98.4,99.0,35
1/21/2018,36,20.1,08.08,,0.45,0.184,95.1,97.6,46
1/22/2018,36,19.5,8.10,,0.42,0.206,90.2,96.0,38
1/23/2018,36,20.1,8.12,,0.37,0.123,105.4,103.0,74
1/24/2018,36,20.0,08.09,,0.71,0.179,97.2,98.7,74
1/25/2018,36,20.2,08.09,,0.50,0.181,95.3,97.0,68
1/26/2018,36,20.1,8.10,,0.53,0.185,96.4,97.9,241
1/27/2018,37,19.3,08.08,,0.88,0.184,91.1,94.9,253
1/28/2018,37,19.6,08.06,,0.39,0.159,94.7,95.7,171
1/29/2018,37,19.6,08.07,,0.33,0.226,93.6,95.9,226
1/30/2018,36,18.4,08.03,,0.42,0.214,95.8,98.2,765
1/31/2018,36,19.8,8.10,,0.28,0.157,94.3,97.5,532
2/1/2018,36,19.8,08.07,,0.42,0.192,87.1,93.8,229
2/2/2018,36,20.2,8.12,,0.43,0.192,102.4,101.8,160
2/3/2018,36,19.2,8.11,,0.26,0.093,118.5,112.7,24
2/4/2018,36,19.8,8.12,,0.26,0.136,98.4,99.8,31
2/5/2018,36,19.4,8.13,,0.27,0.114,97.8,99.8,43
2/6/2018,37,18.2,08.09,,0.32,0.112,98.2,99.8,73
2/7/2018,37,19.8,8.11,,0.19,0.105,98.2,99.2,35
2/8/2018,37,19.7,8.15,,0.26,0.093,101.0,100.3,83
2/9/2018,36,20.1,8.20,,0.24,0.059,100.8,102.0,20
2/10/2018,37,19.9,8.19,,0.12,0.038,96.4,97.8,136
2/11/2018,36,19.5,8.23,,0.10,0.056,96.2,97.6,68
2/12/2018,37,19.5,8.20,,0.21,0.080,101.0,101.9,37
2/13/2018,37,19.5,8.19,,0.16,0.041,95.9,97.0,29
2/14/2018,37,19.9,8.16,,0.21,0.071,95.8,97.4,40
2/15/2018,36,20.1,08.05,,0.12,0.092,93.7,96.3,55
2/16/2018,35,19.8,8.19,,0.26,0.064,100.6,100.7,39
2/17/2018,35,19.9,8.18,,0.11,0.101,99.4,100.8,43
2/18/2018,36,19.6,8.14,,0.36,0.085,95.7,98.4,53
2/19/2018,36,19.7,8.14,,0.27,0.109,97.3,98.9,64
2/20/2018,36,20.2,8.11,,0.45,0.188,96.3,97.9,86
2/21/2018,36,20.0,8.13,,0.57,0.171,92.9,96.6,99
2/22/2018,36,19.9,08.07,,0.33,0.187,98.0,98.9,99
2/23/2018,36,19.9,8.1,,0.38,0.147,100.8,98.1,79
2/24/2018,36,19.6,08.08,,0.44,0.152,95.9,97.7,103
2/25/2018,36,19.2,08.03,,0.32,0.185,96.2,97.7,74
2/26/2018,37,19.6,08.07,,0.50,0.231,92.3,95.4,114
2/27/2018,37,19.9,08.09,,0.63,0.201,95.7,97.3,149
2/28/2018,36,19.8,8.14,,0.53,0.179,98.4,99.0,115
3/1/2018,35,19.8,8.12,,0.37,0.128,96.8,99.2,103
3/2/2018,35,20.2,8.16,,0.35,0.096,100.8,102.0,67
3/3/2018,35,20.1,08.09,,0.47,0.196,95.0,97.3,55
3/4/2018,34,19.4,08.04,,0.54,0.256,94.3,97.0,33
3/5/2018,33,19.6,8.10,,0.59,0.311,96.1,98.3,14
3/6/2018,34,19.9,8.27,,0.30,0.072,99.5,99.8,25
3/7/2018,35,19.7,8.24,,0.24,0.081,95.8,97.2,57
3/8/2018,32,19.8,8.23,,0.40,0.095,94.7,97.4,113
3/9/2018,32,20.2,8.25,,0.34,0.092,94.7,96.3,199
3/10/2018,34,19.9,8.26,,0.19,0.086,98.7,101.2,42
3/11/2018,34,19.8,8.27,,0.35,0.084,96.0,98.3,27
3/12/2018,34,20.0,8.25,,0.53,0.062,99.0,100.5,25
3/13/2018,34,20.2,8.22,,0.61,0.107,95.6,97.9,19
3/14/2018,31,20.1,8.26,,0.53,0.112,94.2,96.3,15
3/15/2018,32,19.6,8.26,,0.16,0.088,96.6,97.6,14
3/16/2018,32,19.5,8.24,,0.53,0.070,97.1,97.9,17
3/17/2018,33,19.2,8.20,,0.52,0.107,98.4,101.0,20
3/18/2018,31,19.4,8.17,,0.75,0.151,87.0,97.8,25
3/19/2018,31,19.2,8.16,,0.55,0.145,94.8,95.9,22
3/20/2018,35,19.5,8.17,,0.65,0.141,100.6,99.1,26
3/21/2018,37,19.3,8.17,,0.70,0.113,96.9,97.6,31
3/22/2018,37,18.8,8.11,,0.70,0.147,92.2,95.6,118
3/23/2018,37,19.4,8.12,,0.61,0.147,92.9,95.3,37
3/24/2018,35,19.9,8.12,,0.71,0.254,90.4,93.6,35
3/25/2018,35,19.8,8.1,,0.94,0.191,90.3,94.5,73
3/26/2018,36,19.3,08.08,,0.98,0.236,91.8,94.0,50
3/27/2018,36,19.8,8.13,,0.84,0.183,96.1,98.8,149
3/28/2018,36,20.0,8.12,,0.77,0.237,91.9,94.2,168
3/29/2018,36,20.1,08.08,,0.94,0.211,90.8,92.9,193
3/30/2018,36,19.9,08.07,,0.98,0.240,92.8,95.1,280
3/31/2018,34,19.9,8.10,,1.00,0.250,99.2,99.9,340
4/1/2018,34,19.8,08.09,,0.93,0.213,95.7,96.6,411
4/2/2018,32,19.7,8.13,,0.85,0.305,95.7,98,1048
4/3/2018,31,19.9,8.12,,0.77,0.294,94.1,95.8,928
4/4/2018,32,19.8,7.93,,0.70,0.308,94.9,92.1,992
4/5/2018,33,19.5,8.19,,0.55,0.248,94.9,97.0,413
4/6/2018,32,20.0,8.23,,0.42,0.175,98.5,99.8,637
